fecha,hora,valor,codigo_fase
2021-11-06,09:11:00,9.11,1
2021-11-06,09:11:00,9.11,3
2021-11-06,09:12:00,9.12,1
2021-11-06,09:12:00,9.12,3
2021-11-06,09:24:00,9.24,1
2021-11-06,09:24:00,9.24,3
2021-11-06,09:25:00,9.25,1
2021-11-06,09:25:00,9.25,3
2021-11-06,09:33:00,9.33,1
2021-11-06,09:33:00,9.33,3
2021-11-06,09:34:00,9.34,1
2021-11-06,09:34:00,9.34,3
2021-11-06,09:35:00,9.35,1
2021-11-06,09:35:00,9.35,3
2021-11-06,09:37:00,9.37,1
2021-11-06,09:37:00,9.37,3
2021-11-06,09:41:00,9.41,1
2021-11-06,09:41:00,9.41,3
2021-11-06,09:47:00,9.47,1
2021-11-07,01:08:00,1.08,3
2021-11-07,01:34:00,1.34,1
2021-11-07,01:34:00,1.34,3
2021-11-07,01:35:00,1.35,1
2021-11-07,01:35:00,1.35,4
2021-11-07,01:38:00,1.38,3
2021-11-07,01:38:00,1.38,4
2021-11-07,01:43:00,1.43,2
2021-11-07,01:43:00,1.43,3
2021-11-07,01:52:00,1.52,1
2021-11-07,01:52:00,1.52,2
2021-11-07,01:53:00,1.53,1
2021-11-07,01:53:00,1.53,2
2021-11-07,02:00:00,2.0,2
2021-11-07,02:00:00,2.0,3
2021-11-07,02:21:00,2.21,1
2021-11-07,02:21:00,2.21,3
2021-11-07,02:22:00,2.22,1
2021-11-07,02:22:00,2.22,3
2021-11-07,02:32:00,2.32,3
2021-11-07,02:32:00,2.32,4
2021-11-07,02:37:00,2.37,3
2021-11-07,02:37:00,2.37,4
2021-11-07,02:47:00,2.47,1
2021-11-07,02:47:00,2.47,3
2021-11-07,02:48:00,2.48,1
2021-11-07,02:48:00,2.48,3
2021-11-07,03:21:00,3.21,2
2021-11-07,03:21:00,3.21,3
2021-11-07,03:46:00,3.46,2
2021-11-07,03:46:00,3.46,3
2021-11-07,03:47:00,3.47,1
2021-11-07,03:47:00,3.47,3
2021-11-07,03:48:00,3.48,1
2021-11-07,03:48:00,3.48,3
2021-11-07,04:04:00,4.04,3
2021-11-07,04:04:00,4.04,4
2021-11-07,04:10:00,4.1,3
2021-11-07,04:10:00,4.1,4
2021-11-07,04:11:00,4.11,3
2021-11-07,04:11:00,4.11,4
2021-11-07,04:14:00,4.14,3
2021-11-07,04:14:00,4.14,4
2021-11-07,04:22:00,4.22,3
2021-11-07,04:22:00,4.22,4
2021-11-07,04:25:00,4.25,3
2021-11-07,04:25:00,4.25,4
2021-11-07,05:27:00,5.27,1
2021-11-07,05:27:00,5.27,3
2021-11-07,05:28:00,5.28,1
2021-11-07,05:28:00,5.28,3
2021-11-07,05:29:00,5.29,2
2021-11-07,05:29:00,5.29,3
2021-11-07,05:40:00,5.4,1
2021-11-07,05:40:00,5.4,2
2021-11-07,05:41:00,5.41,1
2021-11-07,05:41:00,5.41,2
2021-11-07,05:47:00,5.47,1
2021-11-07,05:47:00,5.47,2
2021-11-07,05:48:00,5.48,1
2021-11-07,05:48:00,5.48,3
2021-11-07,05:51:00,5.51,1
2021-11-07,05:51:00,5.51,3
2021-11-07,05:53:00,5.53,1
2021-11-07,05:53:00,5.53,3
2021-11-07,05:56:00,5.56,1
2021-11-07,05:56:00,5.56,3
2021-11-07,05:57:00,5.57,1
2021-11-07,05:57:00,5.57,2
2021-11-07,06:13:00,6.13,2
2021-11-07,06:13:00,6.13,3
2021-11-07,06:40:00,6.4,1
2021-11-07,06:40:00,6.4,3
2021-11-07,06:41:00,6.41,1
2021-11-07,06:41:00,6.41,3
2021-11-07,07:07:00,7.07,1
2021-11-07,07:07:00,7.07,3
2021-11-07,07:08:00,7.08,1
2021-11-07,07:08:00,7.08,3
2021-11-07,07:13:00,7.13,1
2021-11-07,07:13:00,7.13,3
2021-11-07,07:14:00,7.14,1
2021-11-07,07:14:00,7.14,3
2021-11-07,07:27:00,7.27,1
2021-11-07,07:27:00,7.27,3
2021-11-07,07:28:00,7.28,1
2021-11-07,07:28:00,7.28,3
2021-11-07,08:21:00,8.21,1
2021-11-07,08:21:00,8.21,3
2021-11-07,08:22:00,8.22,1
2021-11-07,08:22:00,8.22,3
2021-11-07,08:24:00,8.24,1
2021-11-07,08:24:00,8.24,3
2021-11-07,08:25:00,8.25,1
2021-11-07,08:25:00,8.25,2
2021-11-07,08:39:00,8.39,1
2021-11-07,08:39:00,8.39,2
2021-11-07,08:40:00,8.4,1
2021-11-07,08:40:00,8.4,2
2021-11-07,08:54:00,8.54,1
2021-11-07,08:54:00,8.54,2
2021-11-07,08:55:00,8.55,1
2021-11-07,08:55:00,8.55,3
2021-11-07,08:56:00,8.56,1
2021-11-07,08:56:00,8.56,3
2021-11-07,08:57:00,8.57,1
2021-11-07,08:57:00,8.57,2
2021-11-07,09:04:00,9.04,1
2021-11-07,09:04:00,9.04,2
2021-11-07,09:06:00,9.06,1
2021-11-07,09:06:00,9.06,2
2021-11-07,09:12:00,9.12,1
2021-11-07,09:12:00,9.12,2
2021-11-07,09:18:00,9.18,1
2021-11-08,01:47:00,1.47,3
2021-11-08,01:49:00,1.49,3
2021-11-08,01:49:00,1.49,4
2021-11-08,01:53:00,1.53,3
2021-11-08,01:53:00,1.53,4
2021-11-08,02:26:00,2.26,3
2021-11-08,02:26:00,2.26,4
2021-11-08,02:34:00,2.34,3
2021-11-08,02:34:00,2.34,4
2021-11-08,02:36:00,2.36,3
2021-11-08,02:36:00,2.36,4
2021-11-08,02:41:00,2.41,1
2021-11-08,02:41:00,2.41,4
2021-11-08,02:42:00,2.42,1
2021-11-08,02:42:00,2.42,3
2021-11-08,02:44:00,2.44,1
2021-11-08,02:44:00,2.44,3
2021-11-08,02:45:00,2.45,1
2021-11-08,02:45:00,2.45,3
2021-11-08,02:47:00,2.47,1
2021-11-08,02:47:00,2.47,3
2021-11-08,02:49:00,2.49,1
2021-11-08,02:49:00,2.49,3
2021-11-08,03:15:00,3.15,1
2021-11-08,03:15:00,3.15,3
2021-11-08,03:16:00,3.16,1
2021-11-08,03:16:00,3.16,3
2021-11-08,03:24:00,3.24,1
2021-11-08,03:24:00,3.24,3
2021-11-08,03:25:00,3.25,1
2021-11-08,03:25:00,3.25,4
2021-11-08,03:30:00,3.3,3
2021-11-08,03:30:00,3.3,4
2021-11-08,03:55:00,3.55,3
2021-11-08,03:55:00,3.55,4
2021-11-08,03:58:00,3.58,3
2021-11-08,03:58:00,3.58,4
2021-11-08,03:59:00,3.59,3
2021-11-08,03:59:00,3.59,4
2021-11-08,04:03:00,4.03,3
2021-11-08,04:03:00,4.03,4
2021-11-08,04:06:00,4.06,1
2021-11-08,04:06:00,4.06,3
2021-11-08,04:07:00,4.07,1
2021-11-08,04:07:00,4.07,3
2021-11-08,04:39:00,4.39,3
2021-11-08,04:39:00,4.39,4
2021-11-08,04:53:00,4.53,3
2021-11-08,04:53:00,4.53,4
2021-11-08,04:59:00,4.59,1
2021-11-08,04:59:00,4.59,3
2021-11-08,05:00:00,5.0,1
2021-11-08,05:00:00,5.0,3
2021-11-08,05:01:00,5.01,2
2021-11-08,05:01:00,5.01,3
2021-11-08,05:12:00,5.12,1
2021-11-08,05:12:00,5.12,2
2021-11-08,05:13:00,5.13,1
2021-11-08,05:13:00,5.13,2
2021-11-08,05:19:00,5.19,1
2021-11-08,05:19:00,5.19,2
2021-11-08,05:20:00,5.2,1
2021-11-08,05:20:00,5.2,2
2021-11-08,05:28:00,5.28,1
2021-11-08,05:28:00,5.28,2
2021-11-08,05:29:00,5.29,1
2021-11-08,05:29:00,5.29,2
2021-11-08,05:38:00,5.38,1
2021-11-08,05:38:00,5.38,2
2021-11-08,05:39:00,5.39,1
2021-11-08,05:39:00,5.39,2
2021-11-08,05:51:00,5.51,1
2021-11-08,05:51:00,5.51,2
2021-11-08,05:52:00,5.52,1
2021-11-08,05:52:00,5.52,2
2021-11-08,06:19:00,6.19,1
2021-11-08,06:19:00,6.19,2
2021-11-08,06:20:00,6.2,1
2021-11-08,06:20:00,6.2,3
2021-11-08,06:22:00,6.22,1
2021-11-08,06:22:00,6.22,3
2021-11-08,06:23:00,6.23,1
2021-11-08,06:23:00,6.23,3
2021-11-08,06:29:00,6.29,1
2021-11-08,06:29:00,6.29,3
2021-11-08,06:30:00,6.3,1
2021-11-08,06:30:00,6.3,3
2021-11-08,06:40:00,6.4,1
2021-11-08,06:40:00,6.4,3
2021-11-08,06:41:00,6.41,1
2021-11-08,06:41:00,6.41,3
2021-11-08,06:52:00,6.52,1
2021-11-08,06:52:00,6.52,3
2021-11-08,06:53:00,6.53,1
2021-11-08,06:53:00,6.53,3
2021-11-08,07:07:00,7.07,1
2021-11-08,07:07:00,7.07,3
2021-11-08,07:08:00,7.08,1
2021-11-08,07:08:00,7.08,3
2021-11-08,07:10:00,7.1,1
2021-11-08,07:10:00,7.1,3
2021-11-08,07:11:00,7.11,1
2021-11-08,07:11:00,7.11,3
2021-11-08,07:13:00,7.13,1
2021-11-08,07:13:00,7.13,3
2021-11-08,07:14:00,7.14,1
2021-11-08,07:14:00,7.14,2
2021-11-08,07:25:00,7.25,1
2021-11-08,07:25:00,7.25,2
